"","theta","batchA","batchB","log_umi:batchA","log_umi:batchB"
"SRSF4",0.739102439475499,-9.81457395949716,-10.0731468627447,2.3684523215994,2.41779369122758
"MECR",0.365777649299419,-11.5620577283092,-11.253025230975,2.1905334203729,2.22213630721514
"MATN1-AS1",0.23401792377617,-11.5604266920596,-11.8143950828964,2.0868295070752,2.1344613219071
"LAPTM5",1.80608093791337,-7.81028935993142,-7.47142768644107,2.53449709884502,2.43375586845796
"PUM1",0.466995547070621,-10.8469003848836,-11.0293462059843,2.20574544136171,2.30591382033312
"SNRNP40",0.678361301595283,-9.91251530611133,-10.0579415298357,2.34896160193215,2.37110143213985
"ZCCHC17",0.541737272897638,-10.2129785767,-10.3502684663526,2.27295906034629,2.34202553234144
"SERINC2",0.199815056037535,-12.1090283638258,-12.1120008116789,2.11804243767902,2.09432734447578
"PEF1",0.626413011742657,-9.98213871264126,-10.0721531473359,2.28826956468871,2.35063865537086
"PTP4A2",1.07255838229679,-9.45913370932031,-9.63051280117774,2.44420162202734,2.5095630165541
"KHDRBS1",1.0659542542008,-9.44991134200088,-9.67542725271385,2.44954791105337,2.50506011656318
"TMEM39B",0.446133819717399,-11.0880907078679,-11.0722494564083,2.18931275507542,2.29152242106514
"KPNA6",0.473445990691917,-10.4944619124518,-11.0846473204793,2.23912113495449,2.28514983645768
"TXLNA",0.269470811118637,-11.5620577283092,-11.664747685725,2.1905334203729,2.13258966318418
"CCDC28B",0.470789837407631,-10.7013016263023,-10.7976495481606,2.22646600305659,2.31353772740502
"TMEM234",0.36803862082298,-11.4349918161284,-11.3108839818526,2.20648357551509,2.2012857619451
"EIF3I",1.15022780197576,-9.40474126548598,-9.59643766220011,2.53215599674625,2.57944470515906
"LCK",1.29203838622753,-9.22462767497101,-9.40849899069899,2.53800027140764,2.60110090151271
"HDAC1",0.816235790011814,-9.75105866255163,-10.0159512427793,2.3765709701723,2.47616669867454
"MARCKSL1",0.947368246630297,-9.59491097603042,-9.86719566722968,2.40515753046819,2.5021611033238
