"","theta","batchA","batchB","log_umi:batchA","log_umi:batchB"
"HDAC1",0.338593611465812,-9.37511570006937,-8.66038973359819,2.26636094447025,2.16372948990043
"MARCKSL1",0.495412517996595,-8.49140318880975,-10.1616920071096,2.11726335195259,2.60609855808612
"FAM229A",0.224278510671205,-15.9677581082169,-5.63926589504795,3.06265686566062,0.188433695641725
"BSDC1",0.215401831561517,-6.36725829855208,-12.8524750447688,1.14789155011767,3.12299487885977
"ZBTB8OS",0.380932274443228,-13.2047862491771,-7.3098979270787,3.21106130666345,1.43520785789615
"RBBP4",1.50070408582987,-7.88339659825286,-10.6488160721798,1.71330842002259,2.5400692083462
"SYNC",0.620872310999074,-16.0729983599889,-5.83032858463847,3.46517443725945,0.435751386319946
"YARS",0.962198031963858,-9.39795861400187,-10.598361379226,1.93648990574315,2.24696402437281
"S100PBP",0.750905036806267,-7.61290541580461,-11.4635994660378,1.2344121502995,2.3747904106794
"RNF19B",0.414397497679856,-21.4143538660913,-7.45389024618356,5.02938841467136,0.936311739559564
"AK2",0.592406859125704,-12.1175793554941,-12.9631789885687,2.96144878062323,3.15919801749014
"ADC",0.0509588314580005,-7.37421447117234,-16.5131136744817,0.585297874839185,3.3882254942524
"TRIM62",0.242294306995625,-5.7585406932484,-8.35482303922113,0.309963780873552,0.756990590017597
"ZNF362",0.619748719420167,-10.7062379164114,-5.38995498287203,1.88079337759676,0.304147355718617
"PHC2",0.498313517592899,-19.8934407082692,-14.7512945450661,4.68135641145986,3.10934001725583
"SMIM12",0.440927895740894,-11.0693282456675,-8.26693590708938,2.66770205032626,1.90667457035393
"DLGAP3",0.311431719613096,-12.6725106845066,-13.7352770297654,2.30258228189295,2.50816027463428
